left_policy,right_policy,split,pair_index,seed,left_side,outcome,left_objective_completed,right_objective_completed,left_score,right_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,action_tic_inconsistent,score_event_inconsistent,scenario_hash,environment_attempts,score_difference
m2-anchor,policy-1603584,validation,251,245721494,host,draw,True,True,2,2,322,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1603584,validation,251,245721494,opponent,loss,True,True,2,3,320,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1603584,validation,252,1891682600,host,win,True,True,3,2,266,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-1603584,validation,252,1891682600,opponent,loss,True,True,2,3,226,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1603584,validation,253,1200430541,host,loss,True,True,2,3,326,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1603584,validation,253,1200430541,opponent,win,True,True,3,2,281,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-1603584,validation,254,1349791374,host,loss,True,True,2,3,261,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1603584,validation,254,1349791374,opponent,loss,True,True,1,2,369,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1800768,validation,250,1019181764,host,win,True,True,3,1,218,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
m2-anchor,policy-1800768,validation,250,1019181764,opponent,loss,True,True,1,2,180,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1800768,validation,251,245721494,host,draw,True,True,2,2,409,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1800768,validation,251,245721494,opponent,loss,True,True,2,3,333,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1800768,validation,252,1891682600,host,win,True,True,3,2,362,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-1800768,validation,252,1891682600,opponent,draw,True,True,2,2,325,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1800768,validation,253,1200430541,host,loss,True,True,1,2,245,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-1800768,validation,253,1200430541,opponent,draw,True,True,2,2,303,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1800768,validation,254,1349791374,host,draw,True,True,2,2,311,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-1800768,validation,254,1349791374,opponent,loss,True,True,1,3,215,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
m2-anchor,policy-2000000,validation,250,1019181764,host,win,True,True,2,1,225,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-2000000,validation,250,1019181764,opponent,loss,True,True,1,2,176,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-2000000,validation,251,245721494,host,win,True,True,3,2,405,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-2000000,validation,251,245721494,opponent,draw,True,True,2,2,428,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-2000000,validation,252,1891682600,host,win,True,True,2,1,303,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-2000000,validation,252,1891682600,opponent,draw,True,True,2,2,322,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,policy-2000000,validation,253,1200430541,host,loss,False,True,0,3,177,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-3
m2-anchor,policy-2000000,validation,253,1200430541,opponent,loss,True,True,2,3,301,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,policy-2000000,validation,254,1349791374,host,win,True,True,3,2,349,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,policy-2000000,validation,254,1349791374,opponent,loss,True,True,1,2,266,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-0200000,validation,250,1019181764,host,win,True,True,2,1,185,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-0200000,validation,250,1019181764,opponent,loss,True,True,1,2,185,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-0200000,validation,251,245721494,host,win,True,True,2,1,306,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-0200000,validation,251,245721494,opponent,loss,True,True,1,2,306,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-0200000,validation,252,1891682600,host,draw,True,True,2,2,494,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0200000,validation,252,1891682600,opponent,draw,True,True,2,2,494,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0200000,validation,253,1200430541,host,draw,True,True,2,2,320,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0200000,validation,253,1200430541,opponent,draw,True,True,2,2,320,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0200000,validation,254,1349791374,host,draw,True,True,2,2,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0200000,validation,254,1349791374,opponent,draw,True,True,2,2,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0800000,validation,250,1019181764,host,win,True,True,3,1,261,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
policy-0200000,policy-0800000,validation,250,1019181764,opponent,loss,True,True,1,3,220,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
policy-0200000,policy-0800000,validation,251,245721494,host,win,True,True,3,2,336,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-0800000,validation,251,245721494,opponent,draw,True,True,2,2,222,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0800000,validation,252,1891682600,host,draw,True,True,2,2,445,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0800000,validation,252,1891682600,opponent,loss,True,True,2,3,402,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-0800000,validation,253,1200430541,host,draw,True,True,2,2,280,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0800000,validation,253,1200430541,opponent,draw,True,True,2,2,222,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0800000,validation,254,1349791374,host,draw,True,True,2,2,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-0800000,validation,254,1349791374,opponent,loss,True,True,2,3,407,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1000256,validation,250,1019181764,host,win,True,True,3,1,244,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
policy-0200000,policy-1000256,validation,250,1019181764,opponent,loss,True,True,2,3,239,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1000256,validation,251,245721494,host,draw,True,True,2,2,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-1000256,validation,251,245721494,opponent,loss,True,True,2,3,285,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1000256,validation,252,1891682600,host,win,True,True,2,1,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-1000256,validation,252,1891682600,opponent,loss,True,True,2,3,401,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1000256,validation,253,1200430541,host,loss,True,True,1,2,246,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1000256,validation,253,1200430541,opponent,draw,True,True,2,2,411,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-1000256,validation,254,1349791374,host,win,True,True,3,2,391,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-1000256,validation,254,1349791374,opponent,loss,True,True,1,2,197,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1400000,validation,250,1019181764,host,win,True,True,2,1,262,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-1400000,validation,250,1019181764,opponent,loss,True,True,2,3,278,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
