policy,split,opponent,pair_index,seed,learner_side,outcome,objective_completed,learner_score,opponent_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,scenario_hash,action_tic_inconsistent,score_event_inconsistent,environment_attempts,score_difference
ppo,test,random_legal,541,1798903588,opponent,win,True,2,1,183,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,542,2016242186,host,win,True,2,0,219,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,542,2016242186,opponent,win,True,3,0,220,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,543,1877289231,host,win,True,2,0,104,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,543,1877289231,opponent,win,True,3,1,192,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,544,1895037430,host,win,True,3,0,158,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,544,1895037430,opponent,win,True,3,0,218,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,545,730420853,host,win,True,2,0,159,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,545,730420853,opponent,win,True,3,0,209,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,546,630409896,host,win,True,3,0,212,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,546,630409896,opponent,win,True,3,0,149,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,547,165005824,host,win,True,2,0,184,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,547,165005824,opponent,win,True,2,1,160,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
